Precinct,Race,LegislativeDistrict,CountyCouncil,CongressionalDistrict,CounterGroup,CounterType,SumOfCount
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Registered Voters,544
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Counted,67
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Under Voted,0
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Yes,53
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,No,13
SHL 32-0001,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Over Voted,1
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Registered Voters,783
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Counted,121
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Under Voted,0
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Yes,77
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,No,44
SHL 32-0038,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Over Voted,0
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,Registered Voters,740
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,Times Counted,156
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,Times Under Voted,0
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,Yes,126
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,No,30
LFP 01-0655,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,1,1,7,Total,Times Over Voted,0
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,679
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,113
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,5
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,29
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,79
SEA 46-2340,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,679
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,113
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,30
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,82
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,679
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,113
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,7
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,47
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,59
SEA 46-2340,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,679
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,113
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,5
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,20
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,88
SEA 46-2340,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,711
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,140
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,13
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,30
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,97
SEA 46-2341,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,711
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,140
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,0
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,38
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,102
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,711
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,140
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,14
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,45
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,80
SEA 46-2341,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,1
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,711
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,140
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,10
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,21
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,109
SEA 46-2341,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,434
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,83
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,0
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,31
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,52
SEA 46-2342,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,434
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,83
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,2
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,38
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,43
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,434
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,83
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,6
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,44
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,33
SEA 46-2342,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,434
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,83
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,0
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,25
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,58
SEA 46-2342,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,407
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,62
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,1
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,15
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,46
SEA 46-2343,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,407
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,62
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,0
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,21
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,40
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,1
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,407
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,62
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,13
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,22
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,26
SEA 46-2343,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,1
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,407
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,62
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,1
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,13
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,48
SEA 46-2343,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,880
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,74
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,4
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,8
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,62
SEA 46-2344,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,880
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,74
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,14
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,59
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,880
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,74
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,6
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,22
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,43
SEA 46-2344,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,3
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,880
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,74
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,3
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,7
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,64
SEA 46-2344,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,284
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,88
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,1
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,43
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,44
SEA 46-2345,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,284
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,88
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,0
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,49
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,39
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,284
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,88
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,17
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,46
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,25
SEA 46-2345,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,284
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,88
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,1
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,37
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,50
SEA 46-2345,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,706
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,136
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,2
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,46
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,88
SEA 46-2346,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,706
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,136
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,43
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,92
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,706
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,136
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,14
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,51
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,71
SEA 46-2346,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,706
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,136
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,4
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,36
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,96
SEA 46-2346,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,677
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,99
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,1
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,29
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,69
SEA 46-2347,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,677
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,99
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,3
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,29
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,67
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,677
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,99
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,12
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,26
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,60
SEA 46-2347,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,1
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,677
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,99
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,3
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,24
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,72
SEA 46-2347,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,319
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,77
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,0
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,26
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,51
SEA 46-2348,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,319
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,77
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,30
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,46
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,319
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,77
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,9
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,25
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,42
SEA 46-2348,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,1
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,319
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,77
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,0
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,20
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,57
SEA 46-2348,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,401
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,84
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,2
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,21
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,61
SEA 46-2349,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,401
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,84
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,32
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,51
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,401
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,84
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,5
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,35
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,44
SEA 46-2349,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,401
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,84
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,2
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,No,21
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Yes,61
SEA 46-2349,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Over Voted,0
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Registered Voters,428
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Counted,89
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Under Voted,0
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Yes,58
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,No,31
SHL 32-0665,Proposed Shoreline Fire Department Regional Fire Authority Proposition No. 1,32,1,7,Total,Times Over Voted,0
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Registered Voters,482
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Counted,78
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Under Voted,2
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,No,32
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Yes,44
SEA 46-2350,Seattle School District No. 1 Proposition No. 2,46,1,7,Total,Times Over Voted,0
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Registered Voters,482
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Counted,78
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Under Voted,1
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,No,29
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Yes,48
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B,46,1,7,Total,Times Over Voted,0
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Registered Voters,482
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Counted,78
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Under Voted,12
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1B,39
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Proposition 1A,27
SEA 46-2350,City of Seattle Proposition Nos. 1A and 1B (continued),46,1,7,Total,Times Over Voted,0
SEA 46-2350,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Registered Voters,482
SEA 46-2350,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Counted,78
SEA 46-2350,Seattle School District No. 1 Proposition No. 1,46,1,7,Total,Times Under Voted,3
